,key,value,default,level,description,type
178,QUERY_ACCELERATION_MAX_STATEMENT_SCALE_FACTOR,0,0,,"Maximum scale factor per statement for query acceleration. Limits how many QAS workers a single request can use, expressed as a multiple of warehouse size. Value of 0 means no per-statement limit (warehouse-level limit still applies).",NUMBER
179,QUERY_CLIENT_TAG,,,,String (up to 2000 characters) used to tag and index queries,STRING
180,QUERY_RESULT_FORMAT,JSON,JSON,,Format used to serialize query result to send back to client ,STRING
181,QUERY_TAG,,,,String (up to 2000 characters) used to tag statements executed by the session,STRING
182,QUOTED_IDENTIFIERS_IGNORE_CASE,false,false,,"If true, the case of quoted identifiers is ignored",BOOLEAN
183,READ_CONSISTENCY_MODE,SESSION,SESSION,,"If set to 'GLOBAL', guarantees that changes from different sessions are immediately visible. This option incurs a slight performance impact.",STRING
184,READ_LATEST_WRITES,false,false,,"If true, queries that read hybrid tables will always see the latest committed writes",BOOLEAN
185,REPLACE_INVALID_CHARACTERS,false,false,,Replace invalid UTF-8 characters found in Iceberg table external data files with the Unicode replacement character,BOOLEAN
186,REPLICATION_AUTO_RESOLVER_MAX_SIZE_LIMIT_IN_TB,10.0,10.0,,"Soft limit for the size of the replication auto-resolver operation in terabytes. If set to zero, replication auto-resolver operation is not blocked based on size.",FLOAT
187,REQUIRE_STORAGE_INTEGRATION_FOR_STAGE_CREATION,false,false,,"If true, only credential-less stage creations are allowed. Can be set by the customer.",BOOLEAN
188,REQUIRE_STORAGE_INTEGRATION_FOR_STAGE_OPERATION,false,false,,"If true, only credential-less stages are allowed to be used.  Can be set by the customer.",BOOLEAN
189,ROWS_PER_RESULTSET,0,0,,maxium number of rows in a result set,NUMBER
190,ROW_TIMESTAMP_DEFAULT,false,false,,"When set to true, new tables are created with row timestamp enabled.",BOOLEAN
191,S3_STAGE_VPCE_DNS_NAME,,,,S3 VPCE DNS name to access internal stage bucket over privatelink,STRING
192,SAML_IDENTITY_PROVIDER,,,,Authentication attributes for the SAML Identity provider,STRING
193,SEARCH_PATH,"$current, $public","$current, $public",,Search path for unqualified object references.,STRING
194,SERVERLESS_TASK_MAX_STATEMENT_SIZE,X2Large,X2Large,,The maximum warehouse size to use for a serverless Task,STRING
195,SERVERLESS_TASK_MIN_STATEMENT_SIZE,XSMALL,XSMALL,,The minimum warehouse size to use for a serverless Task,STRING
196,SHOW_EXTERNAL_TABLE_KIND_AS_TABLE,true,true,,"Change the way external table KIND info is displayed by SHOW TABLES and SHOW OBJECTS. The KIND column of external tables is displayed as TABLE if true, EXTERNAL_TABLE otherwise.",BOOLEAN
197,SHOW_TERSE_BY_DEFAULT,false,false,,"When enabled, SHOW commands route to MD Fetch SHOW TERSE implementation. Use SHOW FULL to get all columns.",BOOLEAN
198,SIMULATED_DATA_SHARING_CONSUMER,,,,Data sharing views will return rows as if executed in the specified consumer account.,STRING
199,SNOWPARK_HIDE_INTERNAL_ALIAS,true,true,,Display the original column names after automatic aliased by Snowpark client. e.g. Join two dataframes with conflicting column names.,BOOLEAN
200,SNOWPARK_LAZY_ANALYSIS,true,true,,Enable lazy result schema analysis for Snowpark,BOOLEAN
201,SNOWPARK_REQUEST_TIMEOUT_IN_SECONDS,86400,86400,,Client side timeout for Snowpark requests in seconds. Currently this parameter only applies to UDF jar (Java/Scala) or zip (Python) file uploading.,NUMBER
202,SNOWPARK_STORED_PROC_IS_FINAL_TABLE_QUERY,false,false,,"If true, it indicates that the query is the final query of table sproc which is used as the result for the client",BOOLEAN
203,SNOWPARK_USE_SCOPED_TEMP_OBJECTS,false,true,SYSTEM,True = Snowpark will create job scoped temp objects. False = Snowpark will create session temp objects. Only affects JVM Snowpark versions > 1.5.0,BOOLEAN
204,SNOWSIGHT_USE_DASHED_CLASSIC_UI_URL,false,false,,Use dashed version of account or alias when constructing classic-ui url,BOOLEAN
205,SNOWSIGHT_USE_REGIONLESS_CLASSIC_UI_URL,false,false,,Use regionless mode when constructing classic-ui url,BOOLEAN
206,SQL_API_NULLABLE_IN_RESULT_SET,true,true,,"The result set may include JSON null if true, otherwise it includes string 'null'",BOOLEAN
207,SQL_API_QUERY_RESULT_FORMAT,JSON,JSON,,The result set will use the format provided with the default of JSON,STRING
208,SQL_TRACE_QUERY_TEXT,OFF,OFF,,"If set to be 'on', we allow collecting query text in sql tracing",STRING
209,SSO_LOGIN_PAGE,false,false,,Enable federated authentication for console login and redirects preview page to console login,BOOLEAN
210,STATEMENT_QUEUED_TIMEOUT_IN_SECONDS,0,0,,Timeout in seconds for queued statements: statements will automatically be canceled if they are queued on a warehouse for longer than this amount of time; disabled if set to zero.,NUMBER
211,STATEMENT_TIMEOUT_IN_SECONDS,172800,172800,,"Timeout in seconds for statements: statements are automatically canceled if they run for longer; if set to zero, max value (604800) is enforced.",NUMBER
212,STORAGE_SERIALIZATION_POLICY,OPTIMIZED,OPTIMIZED,,Storage serialization policy used for managed Iceberg table. This include encodings and compressions,STRING
213,STRICT_JSON_OUTPUT,false,false,,JSON output is strictly compliant to the specification,BOOLEAN
214,SUSPEND_TASK_AFTER_NUM_FAILURES,10,10,,How many times a task must fail in a row before it is automatically suspended. 0 disables auto-suspending.,NUMBER
215,TARGET_FILE_SIZE,AUTO,AUTO,,Target file size for iceberg tables.,STRING
216,TASK_AUTO_RETRY_ATTEMPTS,0,0,,Maximum Automatic Retries Allowed For A User Task,NUMBER
217,TIMESTAMP_DAY_IS_ALWAYS_24H,false,false,,"If set, arithmetic on days always uses 24 hours per day,
possibly not preserving the time (due to DST changes)",BOOLEAN
218,TIMESTAMP_INPUT_FORMAT,AUTO,AUTO,,input format for timestamp,STRING
219,TIMESTAMP_LTZ_OUTPUT_FORMAT,,,,"Display format for TIMESTAMP_LTZ values. If empty, TIMESTAMP_OUTPUT_FORMAT is used.",STRING
220,TIMESTAMP_NTZ_OUTPUT_FORMAT,YYYY-MM-DD HH24:MI:SS.FF3,YYYY-MM-DD HH24:MI:SS.FF3,,"Display format for TIMESTAMP_NTZ values. If empty, TIMESTAMP_OUTPUT_FORMAT is used.",STRING
221,TIMESTAMP_OUTPUT_FORMAT,YYYY-MM-DD HH24:MI:SS.FF3 TZHTZM,YYYY-MM-DD HH24:MI:SS.FF3 TZHTZM,,Default display format for all timestamp types.,STRING
222,TIMESTAMP_TYPE_MAPPING,TIMESTAMP_NTZ,TIMESTAMP_NTZ,,"If TIMESTAMP type is used, what specific TIMESTAMP* type it should map to:
  TIMESTAMP_LTZ, TIMESTAMP_NTZ (default) or TIMESTAMP_TZ",STRING
223,TIMESTAMP_TZ_OUTPUT_FORMAT,,,,"Display format for TIMESTAMP_TZ values. If empty, TIMESTAMP_OUTPUT_FORMAT is used.",STRING
224,TIMEZONE,America/Los_Angeles,America/Los_Angeles,,time zone,STRING
225,TIME_INPUT_FORMAT,AUTO,AUTO,,input format for time,STRING
226,TIME_OUTPUT_FORMAT,HH24:MI:SS,HH24:MI:SS,,display format for time,STRING
227,TRACE_LEVEL,OFF,OFF,,Trace level value to use when generating/filtering trace events,STRING
228,TRANSACTION_ABORT_ON_ERROR,false,false,,"If this parameter is true, and a statement issued within a non-autocommit
transaction returns with an error, then the non-autocommit transaction is
aborted. All statements issued inside that transaction will fail until an
commit or rollback statement is executed to close that transaction.",BOOLEAN
229,TRANSACTION_DEFAULT_ISOLATION_LEVEL,READ COMMITTED,READ COMMITTED,,"The default isolation level when starting a starting a transaction, when no
isolation level was specified",STRING
230,TWO_DIGIT_CENTURY_START,1970,1970,,"For 2-digit dates, defines a century-start year.
For example, when set to 1980:
  - parsing a string '79' will produce 2079
  - parsing a string '80' will produce 1980",NUMBER
231,UI_FORCE_S3_REGIONAL_DOTTED_ENDPOINTS,false,false,,UI param to force resolving to S3 dotted regional endpoints,BOOLEAN
232,UI_NOTIFICATIONS,false,false,,Whether UI notifications are shown in the UI,BOOLEAN
233,UI_QUERY_RESULT_FORMAT,JSON,JSON,,Format used to serialize query result to send back to python connector ,STRING
234,UNLOAD_PARQUET_TIME_TIMESTAMP_MILLIS,true,true,,"Enable this parameter to always unload parquet time and timestamp in milliseconds scale, which are TIME_MILLIS and TIMESTAMP_MILLIS",BOOLEAN
235,UNSUPPORTED_DDL_ACTION,ignore,ignore,,The action to take upon encountering an unsupported ddl statement,STRING
236,USER_TASK_MANAGED_INITIAL_WAREHOUSE_SIZE,Medium,Medium,,The initial size of warehouse to use for managed warehouses in the absence of history,STRING
237,USER_TASK_MINIMUM_TRIGGER_INTERVAL_IN_SECONDS,30,30,,Minimum amount of time between Triggered Task executions in seconds,NUMBER
238,USER_TASK_TIMEOUT_MS,3600000,3600000,,User task execution timeout in milliseconds,NUMBER
239,USE_CACHED_RESULT,true,true,,"If enabled, query results can be reused between successive invocations of the same query as long as the original result has not expired",BOOLEAN
240,USE_WORKSPACES_FOR_SQL,unset,unset,,Set Workspaces as the default SQL editor,STRING
241,WEEK_OF_YEAR_POLICY,0,0,,"Defines the policy of assigning weeks to years:
0: the week needs to have 4 days in a given year;
1: a week with January 1st always belongs to a given year.",NUMBER
242,WEEK_START,0,0,,"Defines the first day of the week:
0: legacy Snowflake behavior; 1: Monday .. 7: Sunday.",NUMBER
243,WORKSPACE_USER_SETTINGS,{},{},,Workspace user settings,STRING
